Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,33,5478,4633,42,470,845,9,0,9,0,0
C:\Dropbox\PythonProject\Projects\Scribus,33,5478,4633,42,470,845,9,0,9,0,0
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package,5,603,493,2,95,110,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package\linktools,5,603,493,2,95,110,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\resources,1,62,51,0,9,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\resources\editorconfig,1,62,51,0,9,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\resources\editorconfig\helperscripts,1,62,51,0,9,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus,27,4813,4089,40,366,724,9,0,9,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\designer,1,62,51,9,5,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\designer\smwidgets,1,62,51,9,5,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\doc,1,231,185,6,34,46,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins,24,4488,3830,24,324,658,8,0,8,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin,24,4488,3830,24,324,658,8,0,8,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples,15,889,730,4,59,159,3,0,3,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts,9,3599,3100,20,265,499,5,0,5,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\unicodemap,1,32,23,1,3,9,1,0,1,0,0
